booking_id,months_as_member,weight,days_before,day_of_week,time,category,attended
0049,10,81.56,14,Sun,AM,Strength,0
0050,18,79.57,2,Mon,AM,Strength,-0
0051,8,85.39,8,Thu,AM,Yoga,-0
0052,19,69.65,2,Mon,AM,Yoga,0
0053,12,77.09,10,Fri,AM,HIIT,-0
0054,19,65.65,4,Tue,AM,HIIT,1
0055,53,61.1,10,Fri.,AM,HIIT,1
0056,17,71.35,4,Tue,PM,-,0
0057,3,100.9,10,Fri,AM,HIIT,-0
0058,12,79.68,2,Mon,AM,HIIT,0
0059,19,72.23,10,Fri.,AM,Yoga,0
0060,16,67.53,8,Thu,AM,Yoga,0
0061,8,101.32,5,Tue,PM,Yoga,0
0062,6,81.44,2,Monday,AM,HIIT,-0
0063,9,76.05,4,Tue,AM,HIIT,0
0064,10,100.44,8,Thu,AM,Aqua,-0
0065,2,107.03,2,Mon,AM,Yoga,-0
0066,20,76.07,4,Tue,AM,HIIT,0
0067,11,71.54,8,Thu,AM,Strength,0
0068,8,72.63,14,Sun,PM,Strength,1
0069,9,82.13,10,Thu,PM,HIIT,0
0070,2,108.82,10,Fri,AM,HIIT,-0
0071,17,74.57,3,Mon,AM,Cycling,0
0072,11,74.75,10,Fri,AM,HIIT,0
0073,8,85.86,7,Wednesday,PM,HIIT,-0
0074,28,73.78,5,Wed,PM,HIIT,1
0075,34,75.34,10,Fri,AM,Cycling,0
0076,20,60.1,2,Mon,AM,Aqua,0
0077,5,94.7,6,Wed,AM,HIIT,0
0078,12,97.11,8,Thu,AM,HIIT,1
0079,14,69,14,Sun,AM,Cycling,1
0080,11,82.16,13,Sat,AM,Yoga,0
0081,10,94.97,8,Thu,AM,Cycling,0
0082,11,85.79,8,Thu,PM,Yoga,-0
0083,6,117.19,10,Fri,AM,HIIT,-0
0084,25,70.8,13,Sat,PM,HIIT,1
0085,9,74.76,8,Thu,AM,HIIT,0
0086,8,80.34,10,Fri,AM,HIIT,0
0087,17,86.53,7,Thu,PM,Cycling,0
0088,20,80.11,10,Fri.,AM,Yoga,1
0089,14,68.96,14,Sun,AM,Aqua,0
0090,32,77.57,6,Wed,AM,Cycling,0
0091,3,112.47,10,Fri,AM,Strength,-0
0092,27,77.39,8,Thu,AM,Strength,1
0093,73,66,8,Thu,AM,HIIT,1
0094,10,79.32,12 days,Sat,AM,HIIT,1
0095,5,90.06,6,Wednesday,AM,Cycling,0
0096,20,75.34,10,Thu,PM,Cycling,1
0097,7,81.69,12,Sat,AM,Cycling,1
0098,6,80.74,8,Thu,PM,HIIT,-0
0099,55,62.92,6,Wed,PM,Cycling,1
0100,4,113.86,4,Tue,AM,HIIT,-0
0101,9,73.07,8,Thu,AM,HIIT,-0
0102,7,84.72,12,Sat,AM,Strength,-0
0103,14,80.76,14,Sun,AM,Strength,0
0104,11,85.41,2,Mon,AM,HIIT,1
0105,9,92.06,2,Mon,AM,HIIT,-0
0106,5,78.28,2,Mon,AM,HIIT,0
0107,12,79.77,2,Monday,AM,Strength,0
0108,8,71.49,10,Fri,AM,HIIT,0
0109,21,76.77,8,Thu,AM,Cycling,0
0110,14,69.35,20,Sun,PM,HIIT,1
0111,11,74.57,14,Sun,PM,Strength,0
0112,34,64.52,14,Sun,AM,Yoga,1
0113,8,81.06,4,Tue,PM,HIIT,0
0114,12,79.79,2,Mon,AM,HIIT,0
0115,14,NA,10,Fri,AM,HIIT,0
0116,27,83.32,8,Thu,AM,Yoga,1
0117,10,97.13,1,Mon,PM,HIIT,0
0118,18,88.77,14,Sun,AM,Cycling,1
0119,13,90.38,2,Mon,AM,Yoga,1
0120,26,65.88,2,Mon,AM,HIIT,0
0121,35,69.41,4,Tue,AM,HIIT,1
0122,54,73.02,7,Wednesday,AM,HIIT,1
0123,6,98.42,10,Fri,AM,HIIT,0
0124,15,71.99,10,Fri,AM,HIIT,0
0125,76,58.68,15,Sun,PM,HIIT,1
0126,3,97.38,2,Mon,AM,Cycling,-0
0127,15,75.7,2,Mon,AM,Cycling,0
0128,3,86.92,8,Thu,AM,Cycling,-0
0129,28,70.77,12,Sat,AM,HIIT,1
0130,8,104.33,14,Sun,AM,HIIT,0
0131,5,81.42,14,Sun,AM,HIIT,0
0132,11,77.56,7,Thu,PM,HIIT,-0
0133,9,109.23,2,Mon,AM,HIIT,-0
0134,11,97.77,14,Sun,AM,HIIT,0
0135,9,85.32,8,Thu,AM,Cycling,0
0136,24,80.01,2,Mon,AM,HIIT,1
0137,10,73.38,10,Fri,AM,HIIT,-0
0138,13,95.97,2,Mon,AM,Cycling,0
0139,62,57.83,2,Mon,AM,HIIT,1
0140,5,89.67,15,Sun,AM,HIIT,0
0141,42,59.97,10,Fri,AM,Yoga,1
0142,21,73.99,10,Fri.,AM,Yoga,1
0143,11,55.41,10,Fri,AM,HIIT,0
0144,105,66.07,12,Sat,AM,Cycling,1
0145,15,78.07,8,Thu,AM,HIIT,-0
0146,4,109.09,4,Tue,PM,HIIT,-0
0147,20,81.06,2,Mon,AM,Cycling,1
0148,24,62.76,7,Wed,PM,HIIT,0
0149,2,108.13,14,Sun,AM,HIIT,-0
0150,5,94.46,14,Sun,AM,Strength,-0
0151,90,58.13,14,Sun,AM,HIIT,1
0152,15,66.24,8,Thu,AM,HIIT,0
0153,29,68.84,4,Tue,PM,Strength,1
0154,8,77.16,12,Fri,PM,HIIT,0
0155,18,82.93,12,Sat,AM,HIIT,-0
0156,60,68.02,12,Sat,AM,Cycling,1
0157,3,112.22,12,Sat,AM,HIIT,-0
0158,16,88.34,2,Mon,AM,Strength,1
0159,7,83.26,3,Tue,PM,Cycling,0
0160,21,83.77,8,Thu,AM,HIIT,0
0161,21,63.04,2,Mon,AM,HIIT,0
0162,3,110.18,8,Thu,PM,Strength,-0
0163,3,98.53,8,Thu,PM,HIIT,-0
0164,12,65.51,4,Tue,AM,HIIT,0
0165,11,72.21,13,Sat,PM,HIIT,-0
0166,9,83.07,2,Mon,AM,Strength,-0
0167,18,99.91,12,Sat,AM,Strength,1
0168,7,90.73,8,Thu,AM,Cycling,0
0169,30,78.41,12,Sat,AM,HIIT,1
0170,9,73.58,8,Thu,AM,Strength,0
0171,6,111.44,10,Fri,AM,Aqua,0
0172,8,89.62,12,Sat,AM,Strength,0
0173,11,63.69,4,Tue,AM,HIIT,0
0174,13,87.31,12,Sat,AM,Strength,0
0175,25,80.15,10,Fri,AM,Cycling,-0
0176,32,84.76,2,Mon,AM,Cycling,0
0177,3,105.88,10,Fri,AM,Strength,-0
0178,11,78.28,12,Sat,AM,HIIT,0
0179,12,69.33,4,Tue,AM,Strength,0
0180,8,82.63,12,Sat,AM,HIIT,-0
0181,23,90.78,12,Sat,AM,Cycling,0
0182,5,99.45,10,Fri,AM,Aqua,0
0183,6,82.54,12,Sat,AM,Strength,0
0184,107,67.02,4,Tue,PM,HIIT,1
0185,52,69.34,10,Fri,AM,HIIT,1
0186,8,70.84,12,Sat,AM,HIIT,0
0187,8,92.84,10,Fri,AM,Cycling,0
0188,34,63.41,8,Thu,AM,Cycling,0
0189,13,78.59,2,Mon,AM,Strength,1
0190,5,71.74,6 days,Wed,PM,Strength,-0
0191,14,68.75,3,Mon,AM,Aqua,1
0192,53,61.2,4,Tue,AM,HIIT,1
0193,17,89.54,12 days,Sat,AM,HIIT,0
0194,37,66.89,10,Fri,AM,Yoga,1
0195,8,72.56,2,Mon,AM,Strength,0
0196,11,70.91,4,Tue,PM,Aqua,0
0197,15,79.02,12,Sat,AM,Strength,-0
0198,37,73.32,2,Mon,AM,Strength,1
0199,8,98.92,10,Fri,AM,Aqua,0
0200,12,80.28,14,Sun,AM,Cycling,-0
0201,22,88.9,4,Tue,AM,Yoga,1
0202,9,83.21,12,Sat,AM,HIIT,-0
0203,6,97.94,7,Thu,PM,Cycling,-0
0204,15,104.16,11,Fri,AM,HIIT,0
0205,10,110.54,2,Mon,AM,HIIT,-0
0206,6,91.52,10,Fri,AM,HIIT,0
0207,38,85.69,6,Wed,AM,HIIT,1
0208,10,100.37,12,Sat,PM,HIIT,-0
0209,35,72.7,10,Fri,AM,Cycling,1
0210,10,93.92,11,Sat,PM,Yoga,-0
0211,19,98.71,14,Sun,AM,HIIT,-0
0212,16,NA,10,Fri,AM,Cycling,0
0213,10,84.1,14,Sun,AM,HIIT,0
0214,9,77.48,2,Mon,AM,Cycling,-0
0215,16,67.38,2,Mon,AM,HIIT,0
0216,8,84.49,10,Fri,AM,Yoga,-0
0217,12,74.04,4,Tue,AM,Aqua,-0
0218,21,69,4,Tue,PM,Yoga,1
0219,13,72.34,12,Sat,AM,HIIT,0
0220,3,90.91,8,Thu,AM,Cycling,-0
0221,27,68.72,12,Sat,AM,Strength,1
0222,17,74.87,2,Mon,AM,HIIT,1
0223,20,66.15,10,Fri,AM,HIIT,1
0224,48,68.39,10,Fri.,AM,HIIT,1
0225,21,83.07,14,Sun,AM,Strength,1
0226,51,63.59,8,Thu,AM,HIIT,1
0227,13,72.58,12,Sat,AM,Strength,-0
0228,20,68.7,8,Thu,AM,Cycling,1
0229,12,84.45,13,Sat,AM,Strength,0
0230,23,71,6,Wednesday,AM,Cycling,0
0231,12,88.42,9,Thu,AM,Yoga,0
0232,10,81.69,8,Thu,AM,HIIT,0
0233,18,80.93,2,Mon,AM,Aqua,0
0234,8,85.12,6,Wednesday,AM,HIIT,1
0235,16,76.12,8,Thu,AM,Strength,0
0236,8,90.12,12,Sat,AM,HIIT,-0
0237,17,76.61,13 days,Sat,AM,Cycling,1
0238,29,68.31,2,Monday,AM,Yoga,1
0239,10,74.35,3 days,Tue,PM,HIIT,-0
0240,9,75.63,12,Sat,AM,HIIT,-0
0241,10,77.81,5,Tue,PM,Cycling,1
0242,7,79.38,14,Sun,AM,HIIT,0
0243,16,87.55,8,Thu,PM,Cycling,0
0244,7,89.94,8,Thu,AM,HIIT,-0
0245,34,68.83,10,Fri,AM,Yoga,1
0246,9,82.29,2,Mon,PM,Cycling,0
0247,12,82.89,12,Sat,AM,HIIT,0
0248,12,77.03,10,Fri,AM,HIIT,0
0249,7,86.31,10,Fri,AM,Cycling,-0
0250,40,68.7,14,Sun,AM,Cycling,1
0251,4,86.74,2,Mon,AM,Cycling,-0
0252,8,92.4,2,Mon,AM,Aqua,1
0253,8,86.15,2,Mon,AM,HIIT,-0
0254,3,101.97,12,Sat,AM,Strength,-0
0255,7,105.2,14,Sun,PM,HIIT,-0
0256,6,78.32,14,Sun,AM,HIIT,0
0257,8,82.16,10,Fri,AM,Strength,-0
0258,5,80.71,10,Fri,AM,Strength,-0
0259,25,75.26,14,Sun,AM,HIIT,1
0260,20,78.7,12,Sat,AM,Cycling,1
0261,15,76.31,12,Sat,AM,Strength,-0
0262,16,82.66,10,Fri,AM,Aqua,-0
0263,8,81.45,4,Tue,AM,Cycling,0
0264,13,82.28,12,Sat,AM,Strength,0
0265,6,79.9,12,Sat,AM,Yoga,-0
0266,12,78.05,2,Mon,AM,Aqua,-0
0267,4,103.25,14,Sun,AM,HIIT,0
0268,4,86.88,4,Tue,AM,HIIT,-0
0269,7,103.46,12,Sat,AM,Cycling,-0
0270,4,75.82,10,Fri,AM,Cycling,-0
0271,3,97.88,4,Tue,AM,Aqua,-0
0272,13,77.83,2,Mon,AM,Aqua,-0
0273,6,89.99,8,Thu,PM,Yoga,0
0274,25,82.15,10,Fri,AM,Cycling,0
0275,20,70.41,8,Thu,AM,Aqua,0
0276,7,82.81,16,Sun,PM,HIIT,0
0277,17,59.56,10,Fri.,AM,Cycling,1
0278,26,74.57,2,Mon,AM,HIIT,1
0279,3,86.08,2,Mon,AM,HIIT,-0
0280,21,66.49,6,Wed,AM,Cycling,0
0281,9,93.47,8,Thu,PM,Strength,0
0282,12,73.88,10,Fri,AM,HIIT,0
0283,14,88.33,12,Sat,AM,HIIT,0
0284,8,79.42,7,Thu,PM,Cycling,-0
0285,26,74.46,10,Fri,AM,HIIT,0
0286,89,73.41,8,Thu,AM,HIIT,1
0287,24,67.71,12,Sat,AM,Cycling,1
0288,13,80.77,12,Sat,AM,Cycling,1
0289,10,73.69,6,Wed,PM,Cycling,0
0290,22,71.87,4,Tue,AM,HIIT,1
0291,9,91.17,7,Wed,PM,Cycling,0
0292,26,63.81,12,Sat,AM,Strength,1
0293,5,114.17,2,Mon,AM,Strength,0
0294,57,70.39,14,Sun,AM,Cycling,1
0295,11,84.37,2,Mon,AM,Aqua,1
0296,34,70.09,4,Tue,AM,HIIT,1
0297,20,78.1,12,Sat,AM,Yoga,1
0298,13,81.01,6,Wednesday,PM,Strength,1
0299,6,87.32,4,Tue,PM,HIIT,-0
0300,4,71.49,14,Sun,AM,Strength,-0
0301,7,78.46,6,Wednesday,AM,HIIT,-0
0302,11,87.9,4,Tue,AM,HIIT,1
0303,9,99.29,8,Thu,AM,Cycling,-0
0304,9,88.49,12,Sat,AM,HIIT,1
0305,12,68.15,2,Mon,AM,HIIT,0
0306,10,81.98,15,Sun,PM,HIIT,-0
0307,36,74.73,10,Fri,AM,HIIT,1
0308,13,81.25,4,Tue,AM,HIIT,0
0309,13,74.59,3,Tue,PM,Cycling,1
0310,7,80.65,12,Sat,AM,HIIT,-0
0311,13,78.52,13,Sat,AM,Strength,0
0312,18,66.05,12,Sat,AM,HIIT,0
0313,13,95.72,4,Tue,AM,HIIT,1
0314,23,94.94,1 days,Mon,PM,Cycling,1
0315,5,90.51,11,Thu,PM,Yoga,0
0316,5,NA,14,Sun,AM,HIIT,-0
0317,11,83.92,10,Fri,AM,Cycling,0
0318,15,81.12,12,Sat,AM,Yoga,0
0319,20,66.67,10,Fri,AM,HIIT,0
0320,12,97.1,7,Wed,PM,HIIT,1
0321,14,85.49,4,Tue,AM,HIIT,0
0322,20,91.6,8,Thu,AM,Cycling,-0
0323,14,84.25,8,Thu,AM,Strength,1
0324,14,83.35,8,Thu,AM,HIIT,-0
0325,6,111.16,10,Fri,AM,Cycling,-0
0326,17,77.19,14,Sun,AM,HIIT,1
0327,12,100.05,8,Thu,PM,HIIT,-0
0328,11,69.73,14,Sun,PM,Cycling,0
0329,5,76.93,7,Wed,PM,HIIT,-0
0330,18,75.16,15,Sun,AM,Cycling,0
0331,10,70.61,8,Thu,AM,HIIT,0
0332,15,71.06,2,Mon,AM,Yoga,1
0333,19,70.68,4,Tue,PM,Cycling,-0
0334,52,83.2,10,Fri,AM,Cycling,1
0335,16,87,10,Fri,AM,Yoga,1
0336,19,67.86,12,Sat,AM,Strength,-0
0337,11,97.87,5,Tue,PM,Cycling,0
0338,14,68.47,14,Sun,AM,HIIT,0
0339,13,71.22,3,Mon,AM,Yoga,0
0340,7,97.55,13,Wed,PM,Cycling,-0
0341,6,85.36,14,Sun,AM,HIIT,-0
0342,13,96.94,10,Fri,AM,HIIT,0
0343,27,76.99,12,Sat,AM,Cycling,1
0344,23,74.94,12,Sat,AM,Cycling,1
0345,20,83.41,14,Sun,AM,Cycling,1
0346,19,72.34,8,Thu,AM,Strength,1
0347,8,75.14,2,Mon,AM,HIIT,-0
0348,5,112.86,10,Fri,AM,Cycling,0
0349,38,72.88,1,Mon,PM,HIIT,0
0350,10,88.28,2,Mon,AM,Yoga,0
0351,11,79.68,10,Fri,AM,HIIT,-0
0352,18,81.2,12,Sat,AM,Cycling,1
0353,16,79.57,8,Thu,AM,Cycling,0
0354,18,78.63,7,Wed,PM,Cycling,0
0355,6,93.79,12,Sat,AM,Strength,-0
0356,38,69.36,4,Tue,AM,Strength,0
0357,18,73.05,2,Mon,AM,HIIT,1
0358,3,86.5,14,Sun,AM,Cycling,0
0359,7,81.54,10,Thu,PM,Cycling,-0
0360,9,77.71,12,Sat,AM,HIIT,-0
0361,20,81.53,10,Fri,AM,HIIT,0
0362,5,88.39,14,Sun,AM,Strength,0
0363,5,94.46,2,Mon,AM,HIIT,-0
0364,7,87.52,6,Wed,PM,Strength,-0
0365,8,80.72,14,Sun,AM,Cycling,0
0366,4,88.17,2,Mon,AM,Cycling,-0
0367,4,NA,2,Mon,AM,Aqua,-0
0368,14,85.02,4,Tue,PM,Cycling,0
0369,2,148.02,8,Thu,AM,HIIT,-0
0370,13,88.57,12,Sat,AM,Aqua,1
0371,6,87.32,14,Sun,PM,HIIT,0
0372,14,72.91,12,Sat,AM,Yoga,1
0373,7,91.65,14,Sun,AM,Yoga,0
0374,9,84.27,2,Mon,AM,Cycling,0
0375,10,97.99,10,Fri,AM,Strength,0
0376,4,90.56,8,Thu,AM,Strength,-0
0377,14,78.59,14,Sun,AM,HIIT,0
0378,12,92.47,6,Tue,PM,Strength,0
0379,7,97.56,10,Fri,AM,HIIT,-0
0380,44,69.88,2,Mon,AM,HIIT,1
0381,14,77.98,7 days,Wed,PM,Strength,0
0382,13,83.43,2,Mon,AM,Cycling,1
0383,6,79.07,4,Tue,AM,HIIT,-0
0384,8,91.58,8,Thu,AM,HIIT,0
0385,29,77.57,2,Mon,PM,Cycling,1
0386,11,115.18,2,Mon,AM,Strength,-0
0387,5,91.47,14,Sun,AM,Strength,-0
0388,10,76.63,6,Wed,PM,Cycling,-0
0389,7,91.88,12,Sat,AM,HIIT,1
0390,21,69.93,10,Fri,AM,HIIT,0
0391,8,89.72,10,Fri,AM,Cycling,0
0392,4,109.82,10,Fri,AM,HIIT,-0
0393,7,76.58,2,Mon,AM,HIIT,-0
0394,8,97.2,11,Sat,PM,Cycling,-0
0395,6,100.82,14,Sun,AM,Cycling,-0
0396,13,87.5,4,Tue,AM,HIIT,0
0397,26,70.25,8,Thu,AM,HIIT,0
0398,20,76.69,8,Thu,AM,Strength,0
0399,17,67.71,8 days,Thu,AM,Cycling,0
0400,7,90.14,10,Fri,AM,HIIT,0
0401,19,70.41,14,Sun,AM,HIIT,0
0402,8,73.98,7,Thu,PM,Cycling,0
0403,15,71.29,2,Mon,AM,HIIT,0
0404,35,63.28,8,Thu,AM,HIIT,1
0405,8,84.64,8,Thu,AM,-,0
0406,10,99.92,10,Fri,AM,Strength,0
0407,39,81.53,6,Wed,AM,Yoga,0
0408,8,89.14,12,Sat,AM,Cycling,-0
0409,15,86.09,10,Fri.,AM,HIIT,0
0410,10,85.31,12,Sat,PM,HIIT,0
0411,6,96.07,8,Thu,AM,Strength,-0
0412,15,96.49,14,Sun,AM,Yoga,0
0413,13,81.79,14,Sun,AM,Cycling,0
0414,7,86.7,12,Sat,AM,HIIT,-0
0415,21,87.43,12,Sat,PM,Strength,0
0416,9,73.89,12,Sat,AM,Cycling,0
0417,6,101.7,5,Tue,PM,Aqua,0
0418,8,76.99,4,Tue,AM,HIIT,0
0419,14,84.17,14,Sun,AM,HIIT,1
0420,11,92.82,8,Thu,PM,HIIT,0
0421,10,69.85,2,Mon,AM,Cycling,-0
0422,5,93.99,14,Sun,AM,Cycling,-0
0423,13,67.26,10,Fri,AM,Cycling,0
0424,41,73.23,14,Sun,AM,Yoga,1
0425,20,75.51,4,Tue,AM,HIIT,0
0426,15,66.77,4,Tue,AM,Strength,0
0427,11,78.77,4,Tue,PM,HIIT,-0
0428,21,83.6,10,Fri,AM,Cycling,1
0429,13,92.71,8,Thu,AM,Cycling,-0
0430,11,88.32,6,Wed,PM,HIIT,-0
0431,7,90.6,12,Sat,AM,-,-0
0432,5,101.1,10,Fri,AM,HIIT,-0
0433,18,70.39,12,Sat,AM,HIIT,1
0434,6,91.61,12,Fri,PM,Cycling,0
0435,29,72.52,10,Fri.,AM,Yoga,1
0436,19,71.64,10,Fri,AM,HIIT,1
0437,11,78.65,2,Mon,AM,HIIT,-0
0438,57,69.95,10,Fri,AM,HIIT,0
0439,5,99.3,8,Thu,AM,HIIT,0
0440,17,69.39,13,Sat,AM,Yoga,0
0441,29,86.05,10,Fri,AM,Cycling,0
0442,6,116.26,4,Tue,AM,HIIT,-0
0443,6,69.03,6,Wed,AM,Strength,-0
0444,16,74.09,1,Mon,PM,Cycling,1
0445,14,87.14,10,Fri,AM,HIIT,0
0446,6,86.75,4,Tue,AM,Yoga,-0
0447,9,75.91,14,Sun,AM,Strength,0
0448,36,77.6,1,Mon,PM,Cycling,1
0449,38,68.1,14,Sun,AM,Cycling,1
0450,10,88.89,2,Mon,AM,HIIT,0
0451,3,124.3,12,Sat,PM,HIIT,-0
0452,5,135.18,8,Thu,AM,HIIT,0
0453,12,67.59,8,Thu,AM,HIIT,0
0454,12,79.07,10,Fri,AM,HIIT,1
0455,47,69.81,10,Fri,AM,HIIT,0
0456,6,113.32,11,Thu,PM,Cycling,-0
0457,58,74.48,11,Sat,PM,Strength,1
0458,9,81.99,14,Sun,AM,Yoga,0
0459,36,76.7,6,Wednesday,AM,Cycling,1
0460,5,81.36,10,Fri,AM,HIIT,0
0461,26,67.17,10,Fri,AM,HIIT,1
0462,17,82.26,13,Sun,PM,HIIT,0
0463,5,95.52,10 days,Fri,AM,HIIT,1
0464,5,92.65,2,Mon,AM,Strength,-0
0465,21,71.45,2,Mon,AM,HIIT,0
0466,8,105.82,6,Wed,AM,Cycling,1
0467,7,94.23,14,Sun,AM,Cycling,-0
0468,10,90.65,8,Thu,AM,HIIT,-0
0469,8,84.64,4,Tue,AM,HIIT,-0
0470,9,62.72,10,Fri,AM,HIIT,0
0471,15,89.8,5,Tue,PM,Strength,0
0472,5,122.36,10,Fri.,AM,Yoga,-0
0473,22,68.88,8,Thu,PM,HIIT,1
0474,13,91.43,10,Fri,AM,HIIT,1
0475,24,75.74,10,Fri,AM,Strength,0
0476,26,75.31,6,Wed,AM,Cycling,1
0477,20,84.64,2,Mon,AM,Strength,0
0478,9,98.34,14 days,Sun,AM,HIIT,-0
0479,20,85.93,14,Sun,AM,HIIT,0
0480,18,93.91,10,Fri,AM,Cycling,1
0481,9,79.54,15,Sun,PM,Yoga,0
0482,10,91.73,8,Thu,AM,Strength,0
0483,14,NA,1,Mon,PM,Aqua,0
0484,10,88.58,2,Mon,AM,HIIT,1
0485,39,77.84,11,Fri,AM,HIIT,0
0486,66,61.01,5,Tue,AM,Aqua,1
0487,48,82.1,10,Fri,AM,HIIT,1
0488,7,64.63,4,Tue,PM,HIIT,0
0489,20,76.14,4,Tue,AM,HIIT,1
0490,10,79.89,10,Fri,AM,HIIT,0
0491,5,96.85,10,Fri.,AM,Yoga,0
0492,9,74.13,14,Sun,AM,Strength,-0
0493,25,79.71,9,Thu,PM,Aqua,1
0494,17,68.3,8,Thu,PM,Cycling,1
0495,4,89.38,11,Fri,AM,Strength,-0
0496,10,89.19,8,Thu,AM,Cycling,-0
0497,7,77.96,2,Mon,AM,HIIT,-0
0498,7,77.92,8,Thu,AM,Cycling,-0
0499,11,76.3,12,Sat,AM,Cycling,0
0500,27,67.79,12,Sat,AM,HIIT,1
0501,9,73.42,12,Sat,AM,HIIT,0
0502,17,71.49,4,Tue,PM,Yoga,0
0503,14,71.04,6,Wed,PM,HIIT,0
0504,20,79.93,8,Thu,PM,Cycling,0
0505,11,88.93,14,Sun,AM,HIIT,0
0506,7,80.38,8,Thu,AM,HIIT,0
0507,14,86.68,2,Mon,AM,HIIT,0
0508,5,100.08,8,Thu,AM,HIIT,-0
0509,5,90.34,2,Mon,PM,HIIT,0
0510,8,89.81,12,Sat,AM,HIIT,0
0511,8,73.28,14,Sun,AM,HIIT,0
0512,15,104.35,14,Sun,AM,HIIT,0
0513,14,72.28,13,Sun,PM,HIIT,0
0514,6,72.56,2,Mon,PM,HIIT,-0
0515,5,100.69,8,Thu,AM,HIIT,1
0516,8,89.39,7,Thu,PM,HIIT,0
0517,6,104.74,4,Tue,PM,Cycling,-0
0518,7,73.19,5,Wed,PM,Cycling,0
0519,24,65.01,3,Mon,AM,Yoga,1
0520,25,73.09,10,Fri.,AM,Yoga,0
0521,10,86.22,10,Fri,AM,Yoga,-0
0522,19,79.44,10,Fri,AM,HIIT,0
0523,20,71.28,4,Tue,AM,Cycling,-0
0524,9,96.53,7,Wednesday,PM,HIIT,0
0525,19,77.58,10,Fri,PM,HIIT,1
0526,7,100.32,2,Mon,AM,HIIT,0
0527,6,100.43,10,Thu,PM,Aqua,-0
0528,5,94.55,3,Tue,PM,Strength,0
0529,7,95.71,13,Sun,PM,HIIT,0
0530,12,75.1,14,Sun,AM,Cycling,1
0531,32,74.37,12,Sat,AM,Cycling,1
0532,73,66.5,2,Mon,AM,HIIT,1
0533,41,69.26,4,Tue,AM,HIIT,1
0534,33,81.68,8,Thu,AM,HIIT,1
0535,7,81.38,10,Fri,AM,Cycling,-0
0536,21,73.59,4,Tue,AM,HIIT,1
0537,22,71.52,10,Fri,AM,Strength,1
0538,13,98.72,8,Thu,AM,HIIT,-0
0539,28,72.4,4,Tue,AM,Strength,0
0540,10,89.43,10,Fri,AM,HIIT,0
0541,14,90.07,12,Sat,AM,HIIT,1
0542,8,75.28,12,Sat,AM,Strength,-0
0543,10,96.42,14,Sun,AM,HIIT,1
0544,7,89.32,10,Fri,AM,HIIT,-0
0545,45,73.82,4,Tue,AM,HIIT,1
0546,33,82.2,10,Fri,AM,HIIT,1
0547,11,69.2,14,Sun,PM,Strength,-0
0548,12,86.94,8,Thu,AM,Strength,1
0549,6,74.58,2,Mon,AM,Strength,-0
0550,11,86.49,10,Fri,AM,HIIT,-0
0551,21,65.79,10,Fri,AM,HIIT,1
0552,43,63.19,8,Thu,AM,HIIT,1
0553,11,NA,9,Thu,AM,HIIT,-0
