Region,Place name,Place type,Rating,Reviews,Price,Delivery option,Dine in option,Takeout option
G,coffeeok,Others,4.9,1820.0,$$,True,,
G,"""®КАВА БАЗА®""",Others,5.0,21.0,$$,False,,
G,Coffee in Action,Coffee shop,4.9,304.0,$$,False,,
G,Горький Espresso Bar,Coffee shop,5.0,22.0,$$,False,,
G,Кафе Бутик,Others,4.7,373.0,$$,True,,
G,Cuba Coffee Brew - Bar,Espresso bar,4.6,693.0,$$,False,True,True
G,Progress Cafe,Coffee shop,4.9,26.0,$$,False,,
G,Буду Кофе,Coffee shop,4.9,282.0,$$,False,True,True
G,ONE LOVE espresso bar,Coffee shop,4.6,2319.0,$$,False,True,True
G,Matílda cafe,Cafe,4.9,26.0,$$,False,True,True
G,TAKAVA Coffee-Buffet,Cafe,4.6,1737.0,$$,False,True,True
G,Kaffa,Cafe,4.7,1281.0,$$,False,True,True
G,The Blue Cup Coffee Shop,Espresso bar,4.6,1908.0,$$,True,True,True
G,LION coffee,Coffee shop,4.9,64.0,$$,False,,
G,Kaffa,Espresso bar,4.8,824.0,$$,False,True,True
G,London,Cafe,4.7,1633.0,$$,False,True,
G,PRO Coffee,Espresso bar,4.8,35.0,$$,False,True,True
G,RIGHT coffee bar,Coffee shop,4.7,514.0,$$,False,True,True
G,Espressoholic,Espresso bar,4.6,1300.0,$,False,True,True
G,Matin Desserts & Coffee,Coffee shop,4.9,110.0,$$,False,,
I,КофеТочка Харьков - интернет-магазин кофе и кофеоборудования,Others,3.9,10.0,$$,False,,
I,Coffee House,Espresso bar,4.5,268.0,$$,False,,
I,Sweeter,Coffee shop,4.6,642.0,$$,False,True,True
I,Workshop coffee,Coffee shop,4.7,400.0,$$,False,True,True
I,Мастерская Кофе,Coffee shop,4.7,403.0,$$,False,True,True
I,Kofeyin,Coffee shop,4.5,2914.0,$$,False,True,True
I,Dom Kofe,Coffee shop,4.6,40.0,$$,False,,
I,coffee House,Cafe,4.6,96.0,$$,False,,
I,Cats and coffee | Киці та кава,Espresso bar,4.6,1394.0,$$,True,True,True
I,CoffeeDoor Brewbar & Coffeeshop,Coffee shop,4.7,512.0,$$,False,True,True
I,"Dom Kofe, Mah.",Coffee shop,4.3,3.0,$$,False,,
I,Dim Kavy,Espresso bar,4.7,185.0,$$,False,,
I,Dim Kavy,Others,4.7,222.0,$$,False,True,True
I,Sweeter,Coffee shop,4.6,289.0,$$,False,True,True
I,Kava U Shafi,Coffee shop,4.6,702.0,$$,False,True,
I,Coffeelaktika,Coffee shop,4.8,261.0,$$,False,True,True
I,"Caffissimo, КОФЕЙНЯ",Coffee shop,4.6,118.0,$$,True,True,True
I,Coffeelaktika coffee studio,Coffee shop,4.5,121.0,$$,False,True,True
I,KOFEiN®,Coffee shop,4.6,1758.0,$$,False,True,True
I,Mr. Bourbon,Coffee shop,4.7,551.0,$$,False,True,True
H,DoubleDecker Cake and Coffee,Others,4.7,2381.0,$$$,True,True,True
H,Dim Kavy,Others,4.9,39.0,$$,False,,
H,Бамбук,Cafe,4.1,189.0,$$,False,True,True
H,I feel city cafe,Cafe,4.5,1529.0,$$,True,True,True
H,Coffee Secrets,Cafe,4.6,38.0,$$,False,True,True
H,Horizontal kaffee,Cafe,5.0,37.0,$$,False,True,
H,"Coffee&Cake, Game zone PS4",Coffee shop,,,$$,False,,
H,Zeffirino,Coffee shop,4.6,830.0,$$,False,True,True
H,Coffee Life,Cafe,4.0,170.0,$$,False,True,True
H,The sisters,Cafe,4.7,155.0,$$,False,True,True
H,"""Франс.уа"" кофейня-пекарня",Cafe,3.9,9.0,$$,False,,True
H,Tsikava Kava,Others,4.7,185.0,$$,True,True,
H,Try Bobry,Coffee shop,4.6,2013.0,$$,False,True,True
H,Pa-si-ju Кафе,Cafe,4.6,1051.0,$$,True,True,True
H,Колибри,Cafe,5.0,18.0,$$,False,True,True
H,Artist,Others,4.6,963.0,$$$,False,True,True
H,Dream Cafe,Cafe,4.3,646.0,$$,False,True,True
H,РУТА КАФЕ ПП КУЛІЧЕНКО К.І.,Cafe,4.6,16.0,$$,False,True,True
H,Ob'yektna Kava,Coffee shop,4.7,599.0,$$,False,True,True
H,О...МАРАТ КАФЕ ПП ПОЛІСТЕП,Cafe,4.3,341.0,$$,False,True,
